指标,模型,得分,排名
context_recall,self_rag,0.23166666666666663,1
context_recall,rag,0.20185185185185184,2
context_recall,openai,0.17333333333333334,3
faithfulness,self_rag,0.6457142857142857,1
faithfulness,rag,0.5538095238095238,2
faithfulness,openai,0.3933333333333333,3
factual_correctness,rag,0.27999999999999997,1
factual_correctness,self_rag,0.251,2
factual_correctness,openai,0.154,3
time,rag,1.4246107339859009,1
time,openai,1.8089279890060426,2
time,self_rag,59.50928993225098,3
