model,时间均值,时间标准差,最短时间,最长时间,上下文召回,忠实度,事实正确性
openai,2.387,0.675,1.776,3.507,0.167,0.335,0.3
rag,1.455,0.191,1.226,1.733,0.167,0.72,0.288
self_rag,80.262,41.776,41.577,139.05,0.167,0.6,0.214
