模型,平均幻觉分数,幻觉分数标准差,最大幻觉分数,高幻觉比例(>0.5),总句子数
openai,0.139,0.234,0.667,0.125,24
rag,0.208,0.232,0.667,0.125,8
self_rag,0.194,0.253,0.667,0.167,12
